"active","parent_run_order","parent_layer_key","parent_display_name","child_order","child_key","child_display_name","split_field","split_value","metric_family","child_output_column","input_filter_mode","render_under_parent","notes"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","2","hammer_och_almindinge","Prekvart Bornholm - Hammer och Almindinge","Bjergart","Hammer og Almindinge","area_share","prekvart_bornholm_area_share_hammer_och_almindinge","field_equals","TRUE","Kept as one of the five largest Bornholm prekvart classes by clipped area"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","3","gronne_skifre","Prekvart Bornholm - Gronne Skifre","Bjergart","Grønne Skifre","area_share","prekvart_bornholm_area_share_gronne_skifre","field_equals","TRUE","Kept as one of the five largest Bornholm prekvart classes by clipped area"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","4","vang_och_svaneke_gran","Prekvart Bornholm - Vang och Svaneke Gran","Bjergart","Vang og Svaneke Gran","area_share","prekvart_bornholm_area_share_vang_och_svaneke_gran","field_equals","TRUE","Kept as one of the five largest Bornholm prekvart classes by clipped area"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","5","balka_sandsten","Prekvart Bornholm - Balka sandsten","Bjergart","Balka sandsten","area_share","prekvart_bornholm_area_share_balka_sandsten","field_equals","TRUE","Kept as one of the five largest Bornholm prekvart classes by clipped area"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","6","sandsten_gronsand_ovrigt","Prekvart Bornholm - Sandsten och gronsand - ovrigt","Bjergart","Arnager Grønsand","area_share","prekvart_bornholm_area_share_sandsten_gronsand_ovrigt","field_equals","TRUE","Grouped remainder after top five to preserve a clean sandstone family"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","6","sandsten_gronsand_ovrigt","Prekvart Bornholm - Sandsten och gronsand - ovrigt","Bjergart","Bavnodde Grønsand","area_share","prekvart_bornholm_area_share_sandsten_gronsand_ovrigt","field_equals","TRUE","Grouped remainder after top five to preserve a clean sandstone family"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","6","sandsten_gronsand_ovrigt","Prekvart Bornholm - Sandsten och gronsand - ovrigt","Bjergart","Neksø Sandsten","area_share","prekvart_bornholm_area_share_sandsten_gronsand_ovrigt","field_equals","TRUE","Grouped remainder after top five to preserve a clean sandstone family"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","7","sedimentara_formationer_ovrigt","Prekvart Bornholm - Sedimentara formationer - ovrigt","Bjergart","Jydegård Formationen","area_share","prekvart_bornholm_area_share_sedimentara_formationer_ovrigt","field_equals","TRUE","Grouped remainder after top five to preserve the formation family"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","7","sedimentara_formationer_ovrigt","Prekvart Bornholm - Sedimentara formationer - ovrigt","Bjergart","Rabekke Formationen","area_share","prekvart_bornholm_area_share_sedimentara_formationer_ovrigt","field_equals","TRUE","Grouped remainder after top five to preserve the formation family"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","7","sedimentara_formationer_ovrigt","Prekvart Bornholm - Sedimentara formationer - ovrigt","Bjergart","Robbedale Formatione","area_share","prekvart_bornholm_area_share_sedimentara_formationer_ovrigt","field_equals","TRUE","Grouped remainder after top five to preserve the formation family"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","8","skifrar_ovrigt","Prekvart Bornholm - Skifrar - ovrigt","Bjergart","Alunskifer","area_share","prekvart_bornholm_area_share_skifrar_ovrigt","field_equals","TRUE","Grouped remainder after top five to preserve the shale family"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","8","skifrar_ovrigt","Prekvart Bornholm - Skifrar - ovrigt","Bjergart","Cyrtograftus og Rast","area_share","prekvart_bornholm_area_share_skifrar_ovrigt","field_equals","TRUE","Grouped remainder after top five to preserve the shale family"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","9","kristallint_ovrigt","Prekvart Bornholm - Kristallint - ovrigt","Bjergart","Migmatit","area_share","prekvart_bornholm_area_share_kristallint_ovrigt","field_equals","TRUE","Grouped remainder after top five to preserve the crystalline family"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","9","kristallint_ovrigt","Prekvart Bornholm - Kristallint - ovrigt","Bjergart","Rønnegranit","area_share","prekvart_bornholm_area_share_kristallint_ovrigt","field_equals","TRUE","Grouped remainder after top five to preserve the crystalline family"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","10","kalkbergarter_ovrigt","Prekvart Bornholm - Kalkbergarter - ovrigt","Bjergart","Arnagerkalk","area_share","prekvart_bornholm_area_share_kalkbergarter_ovrigt","field_equals","TRUE","Grouped remainder after top five to preserve the carbonate family"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","10","kalkbergarter_ovrigt","Prekvart Bornholm - Kalkbergarter - ovrigt","Bjergart","Komstad Kalk","area_share","prekvart_bornholm_area_share_kalkbergarter_ovrigt","field_equals","TRUE","Grouped remainder after top five to preserve the carbonate family"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","11","ovrigt_stratigrafiskt","Prekvart Bornholm - Ovrigt stratigrafiskt","Bjergart","Dalmanitina, Tretasp","area_share","prekvart_bornholm_area_share_ovrigt_stratigrafiskt","field_equals","TRUE","Residual stratigraphic remainder kept separate to avoid geologically awkward merges"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","11","ovrigt_stratigrafiskt","Prekvart Bornholm - Ovrigt stratigrafiskt","Bjergart","Kaolin","area_share","prekvart_bornholm_area_share_ovrigt_stratigrafiskt","field_equals","TRUE","Residual stratigraphic remainder kept separate to avoid geologically awkward merges"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","11","ovrigt_stratigrafiskt","Prekvart Bornholm - Ovrigt stratigrafiskt","Bjergart","Trias og Jura","area_share","prekvart_bornholm_area_share_ovrigt_stratigrafiskt","field_equals","TRUE","Residual stratigraphic remainder kept separate to avoid geologically awkward merges"
