hex_id,h3_resolution,source_resolution,source_child_count,solar_score,solar_class,solar_class_label,solar_color,high_potential_share,class_km,landscape_type
881f2a6495fffff,8,9,7,38.4,low,Låg,#d88752,0.286,3,Flygsands- och låglänta kuststråk
881f2a6497fffff,8,9,5,21.6,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
881f2a6499fffff,8,9,6,14.7,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f2a649dfffff,8,9,7,46.2,medium,Medel,#e2c85f,0.429,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a64a1fffff,8,9,7,1.3,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a64a3fffff,8,9,7,15.9,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f2a64a5fffff,8,9,7,6.8,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a64a7fffff,8,9,7,21.7,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
881f2a64a9fffff,8,9,7,0.2,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a64abfffff,8,9,7,5.0,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f2a64adfffff,8,9,7,0.7,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a64b1fffff,8,9,7,32.4,low,Låg,#d88752,0.0,4,Brant relief och dalpräglat inland
881f2a64b3fffff,8,9,7,13.9,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f2a64b5fffff,8,9,7,24.2,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f2a64b7fffff,8,9,7,13.9,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f2a64b9fffff,8,9,7,67.4,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a64bbfffff,8,9,7,43.6,low,Låg,#d88752,0.429,3,Flygsands- och låglänta kuststråk
881f2a64bdfffff,8,9,7,46.7,medium,Medel,#e2c85f,0.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a64c1fffff,8,9,7,68.3,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a64c3fffff,8,9,7,67.2,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a64c5fffff,8,9,7,62.7,medium,Medel,#e2c85f,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a64c7fffff,8,9,7,51.7,medium,Medel,#e2c85f,0.571,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a64c9fffff,8,9,7,67.5,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a64cbfffff,8,9,7,68.6,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a64cdfffff,8,9,7,70.0,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a64d1fffff,8,9,7,67.4,high,Hög,#79b46b,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a64d3fffff,8,9,7,30.7,low,Låg,#d88752,0.0,4,Brant relief och dalpräglat inland
881f2a64d5fffff,8,9,7,60.3,medium,Medel,#e2c85f,0.571,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a64d7fffff,8,9,7,59.9,medium,Medel,#e2c85f,0.571,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a64d9fffff,8,9,7,34.7,low,Låg,#d88752,0.143,4,Brant relief och dalpräglat inland
881f2a64dbfffff,8,9,7,37.1,low,Låg,#d88752,0.143,4,Brant relief och dalpräglat inland
881f2a64ddfffff,8,9,7,38.2,low,Låg,#d88752,0.286,3,Flygsands- och låglänta kuststråk
881f2a64e1fffff,8,9,7,5.5,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a64e3fffff,8,9,7,0.6,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a64e5fffff,8,9,7,7.5,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a64e7fffff,8,9,7,1.3,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a64e9fffff,8,9,7,42.6,low,Låg,#d88752,0.143,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a64ebfffff,8,9,7,12.3,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a64edfffff,8,9,7,11.3,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a6501fffff,8,9,7,66.4,high,Hög,#79b46b,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6503fffff,8,9,7,68.0,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6505fffff,8,9,7,64.3,medium,Medel,#e2c85f,0.571,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6507fffff,8,9,7,61.1,medium,Medel,#e2c85f,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6509fffff,8,9,7,59.0,medium,Medel,#e2c85f,0.286,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a650bfffff,8,9,7,30.9,low,Låg,#d88752,0.143,3,Flygsands- och låglänta kuststråk
881f2a650dfffff,8,9,7,65.6,high,Hög,#79b46b,0.714,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6511fffff,8,9,7,49.0,medium,Medel,#e2c85f,0.286,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6513fffff,8,9,7,28.4,low,Låg,#d88752,0.143,5,Skogligt skyddsinland och habitatkärnor
881f2a6515fffff,8,9,7,68.4,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6517fffff,8,9,7,68.2,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6519fffff,8,9,7,9.6,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a651bfffff,8,9,7,8.0,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a651dfffff,8,9,7,65.4,high,Hög,#79b46b,0.571,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6521fffff,8,9,7,65.6,high,Hög,#79b46b,0.714,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6523fffff,8,9,7,65.8,high,Hög,#79b46b,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6525fffff,8,9,7,69.1,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6527fffff,8,9,7,62.1,medium,Medel,#e2c85f,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6529fffff,8,9,7,46.2,medium,Medel,#e2c85f,0.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a652bfffff,8,9,7,67.2,high,Hög,#79b46b,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a652dfffff,8,9,7,66.1,high,Hög,#79b46b,0.714,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6531fffff,8,9,7,49.8,medium,Medel,#e2c85f,0.571,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6533fffff,8,9,7,67.5,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6535fffff,8,9,7,60.8,medium,Medel,#e2c85f,0.714,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6537fffff,8,9,7,49.0,medium,Medel,#e2c85f,0.286,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6539fffff,8,9,7,44.6,low,Låg,#d88752,0.429,3,Flygsands- och låglänta kuststråk
881f2a653bfffff,8,9,7,62.4,medium,Medel,#e2c85f,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a653dfffff,8,9,7,55.9,medium,Medel,#e2c85f,0.714,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6541fffff,8,9,7,67.6,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6543fffff,8,9,7,36.3,low,Låg,#d88752,0.286,5,Skogligt skyddsinland och habitatkärnor
881f2a6545fffff,8,9,7,68.4,high,Hög,#79b46b,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6547fffff,8,9,7,66.7,high,Hög,#79b46b,0.714,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6549fffff,8,9,7,67.0,high,Hög,#79b46b,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a654bfffff,8,9,7,35.1,low,Låg,#d88752,0.143,5,Skogligt skyddsinland och habitatkärnor
881f2a654dfffff,8,9,7,68.7,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6551fffff,8,9,7,6.9,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a6553fffff,8,9,7,5.5,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a6555fffff,8,9,7,19.4,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a6557fffff,8,9,7,12.1,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a6559fffff,8,9,7,7.0,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a655bfffff,8,9,7,6.9,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a655dfffff,8,9,7,9.6,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a6561fffff,8,9,7,63.8,medium,Medel,#e2c85f,0.286,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6563fffff,8,9,7,42.8,low,Låg,#d88752,0.143,1,Tätorts- och verksamhetskärnor
881f2a6565fffff,8,9,7,49.0,medium,Medel,#e2c85f,0.286,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6567fffff,8,9,7,45.7,medium,Medel,#e2c85f,0.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6569fffff,8,9,7,60.3,medium,Medel,#e2c85f,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a656bfffff,8,9,7,58.6,medium,Medel,#e2c85f,0.286,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a656dfffff,8,9,7,62.9,medium,Medel,#e2c85f,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6581fffff,8,9,7,65.6,high,Hög,#79b46b,0.571,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6583fffff,8,9,7,53.4,medium,Medel,#e2c85f,0.429,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6585fffff,8,9,7,64.9,medium,Medel,#e2c85f,0.429,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6587fffff,8,9,7,68.2,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6589fffff,8,9,7,41.7,low,Låg,#d88752,0.143,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a658bfffff,8,9,7,33.7,low,Låg,#d88752,0.143,4,Brant relief och dalpräglat inland
881f2a658dfffff,8,9,7,25.8,low,Låg,#d88752,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a6591fffff,8,9,7,39.1,low,Låg,#d88752,0.143,3,Flygsands- och låglänta kuststråk
881f2a6593fffff,8,9,7,40.7,low,Låg,#d88752,0.429,3,Flygsands- och låglänta kuststråk
881f2a6595fffff,8,9,7,68.7,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6597fffff,8,9,7,36.1,low,Låg,#d88752,0.143,3,Flygsands- och låglänta kuststråk
881f2a6599fffff,8,9,7,56.5,medium,Medel,#e2c85f,0.286,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a659bfffff,8,9,7,26.7,low,Låg,#d88752,0.0,3,Flygsands- och låglänta kuststråk
881f2a659dfffff,8,9,7,47.3,medium,Medel,#e2c85f,0.286,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a65a1fffff,8,9,7,49.3,medium,Medel,#e2c85f,0.571,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a65a3fffff,8,9,7,69.4,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a65a5fffff,8,9,7,33.7,low,Låg,#d88752,0.143,3,Flygsands- och låglänta kuststråk
881f2a65a7fffff,8,9,7,37.9,low,Låg,#d88752,0.286,3,Flygsands- och låglänta kuststråk
881f2a65a9fffff,8,9,7,22.8,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
881f2a65abfffff,8,9,7,68.0,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a65adfffff,8,9,7,54.2,medium,Medel,#e2c85f,0.571,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a65b1fffff,8,9,7,68.5,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a65b3fffff,8,9,7,48.7,medium,Medel,#e2c85f,0.429,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a65b5fffff,8,9,7,62.7,medium,Medel,#e2c85f,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a65b7fffff,8,9,7,47.6,medium,Medel,#e2c85f,0.143,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a65b9fffff,8,9,7,69.1,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a65bbfffff,8,9,7,56.1,medium,Medel,#e2c85f,0.714,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a65bdfffff,8,9,7,69.7,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a65c1fffff,8,9,7,8.4,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a65c3fffff,8,9,7,7.1,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a65c5fffff,8,9,7,19.1,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a65c7fffff,8,9,7,7.8,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a65c9fffff,8,9,7,6.8,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a65cbfffff,8,9,7,5.5,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a65cdfffff,8,9,7,6.7,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a65d1fffff,8,9,7,7.4,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a65d3fffff,8,9,7,17.5,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a65d5fffff,8,9,7,18.4,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a65d7fffff,8,9,7,27.2,low,Låg,#d88752,0.143,5,Skogligt skyddsinland och habitatkärnor
881f2a65d9fffff,8,9,7,7.9,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a65dbfffff,8,9,7,4.9,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a65ddfffff,8,9,7,9.2,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f2a65e1fffff,8,9,7,61.6,medium,Medel,#e2c85f,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a65e3fffff,8,9,7,45.7,medium,Medel,#e2c85f,0.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a65e5fffff,8,9,7,68.2,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a65e7fffff,8,9,7,48.6,medium,Medel,#e2c85f,0.429,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a65e9fffff,8,9,7,66.0,high,Hög,#79b46b,0.714,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a65ebfffff,8,9,7,34.2,low,Låg,#d88752,0.143,5,Skogligt skyddsinland och habitatkärnor
881f2a65edfffff,8,9,7,68.6,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6601fffff,8,9,7,46.3,medium,Medel,#e2c85f,0.429,3,Flygsands- och låglänta kuststråk
881f2a6603fffff,8,9,7,69.4,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6605fffff,8,9,7,50.2,medium,Medel,#e2c85f,0.571,2,Vardagslandskap med blandad bakgrundskaraktär
881f2a6607fffff,8,9,7,68.9,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
