"variable","F1","F2","F3","F4","F5"
"mean_gc_natura_designated_land_share_k10",0.0963911075720862,0.26468031159526,0.423172332976931,-0.0805218060831854,0.186009605803681
"std_gc_natura_designated_land_share_k10",0.192532644188262,0.175393294845569,0.323251086290078,-0.0883600293742195,0.0942727711483634
"mean_gc_natura_bird_protection_share_k10",-0.0634780421939184,-0.118478527765912,0.737436181326048,0.0881220735604483,-0.122012458316492
"std_gc_natura_bird_protection_share_k10",0.400121145001453,-0.0359473197017961,0.131610388978008,0.133566291645377,-0.179785268153868
"mean_gc_natura_habitat_areas_share_k10",-0.0582155592292576,0.0438184580224976,0.824848686406183,-0.0518596277205886,-0.02173800007969
"std_gc_natura_habitat_areas_share_k10",0.326724512938144,0.126417354427563,0.217909943667763,0.0339921137814071,-0.0403720972314919
"mean_gc_natur_vildt_reservat_share_k10",-0.0748001049951441,-0.0276923538637849,0.218082148476902,0.0200328220884101,0.316075587694942
"std_gc_natur_vildt_reservat_share_k10",-0.0327042034562373,-0.0136503567409264,0.100759509104354,0.0744978220707435,0.258409940633606
"mean_gc_aviation_approach_share_k10",0.165011307529218,-0.160226921575215,-0.10401791902747,0.416889565350325,-0.123892376772816
"std_gc_aviation_approach_share_k10",0.0820161982149484,-0.0516448928237569,-0.0225755703848058,0.192248570946354,-0.0704394731288087
"mean_gc_aviation_bird_collision_share_k10",0.158844613620781,-0.292607395503604,-0.0558760326183682,0.28374281191286,-0.224930798357565
"std_gc_aviation_bird_collision_share_k10",0.133166346466774,-0.0467071766504935,0.00886005144954772,-0.00572716119135618,-0.00918572234262228
"mean_gc_military_areas_share_k10",0.236108641442844,-0.0390769496739745,0.00211976765957137,-0.0223160034765218,-0.0702335306803818
"std_gc_military_areas_share_k10",0.224638432134981,-0.0404559359546981,-0.00442179004825328,-0.0181417263843466,-0.0569317357076026
"mean_gc_ferry_routes_length_m_k10",0.00616943248548263,-0.0273111431740262,0.00896320299430973,0.307248920338568,-0.0873219213355573
"std_gc_ferry_routes_length_m_k10",0.00679037523175586,-0.0448210867140009,0.0121658619474266,0.327332104760069,-0.0988339101561871
"mean_gc_built_low_selection_share_k10",-0.0312826942742883,0.126984468206749,-0.0888034082863779,0.473165857140029,0.231348580457531
"std_gc_built_low_selection_share_k10",0.054121992563827,0.171275077940245,-0.0550456073869051,0.257540765607595,0.268885279074665
"mean_gc_relief_flat_band_k10",0.0008650290488854,-0.458876377518372,-0.0351713984568935,-0.0356097799681165,0.258091155690795
