hex_id,h3_resolution,source_h3_resolution,source_child_hex_count,wind_eligible,solar_eligible,wind_hard_stop,solar_hard_stop,wind_establishment_placement_score,solar_establishment_placement_score,wind_hard_stop_reasons,solar_hard_stop_reasons,wind_exclusion_reason,solar_exclusion_reason,grid_component,road_component,wind_settlement_component,solar_settlement_component,protected_component,culture_component,coastal_component,aviation_component,military_component,grid_distance_m,road_distance_m,settlement_distance_m,protected_distance_m,culture_distance_m,coastal_hard_distance_m,coastal_zone_distance_m,aviation_bird_distance_m,military_distance_m
891f2a62507ffff,9,10,7,True,True,False,False,64.1,74.94,,,,,1.0,0.8107,0.0,0.2753,1.0,0.3243,0.3599,0.0,1.0,406.8,121.6,251.4,1018.0,291.9,3044.5,359.9,0.0,3933.0
891f2a6250bffff,9,10,7,False,False,True,True,52.24,55.55,buildings_low,buildings_low,buildings_low,buildings_low,1.0,0.0767,0.0,0.0,1.0,0.3959,0.0,0.0,1.0,214.9,11.5,150.2,1502.1,356.3,2544.9,0.0,0.0,3502.3
891f2a6250fffff,9,10,7,False,False,True,True,58.09,62.33,buildings_low,buildings_low,buildings_low,buildings_low,1.0,0.3587,0.0,0.0,1.0,0.487,0.1948,0.0,1.0,172.2,53.8,75.1,1163.5,438.3,2881.6,194.8,0.0,3620.2
891f2a62513ffff,9,10,7,False,False,True,True,58.83,64.49,buildings_low,buildings_low,buildings_low,buildings_low,1.0,0.6653,0.0,0.0,1.0,0.1889,0.0,0.0,1.0,28.1,99.8,106.8,1329.9,170.0,2544.2,0.0,0.0,4011.2
891f2a62517ffff,9,10,7,False,False,True,True,60.66,66.75,buildings_low;cultural_conservation_values;cultural_preservation,buildings_low;cultural_conservation_values;cultural_preservation,buildings_low;cultural_conservation_values;cultural_preservation,buildings_low;cultural_conservation_values;cultural_preservation,1.0,0.8213,0.0,0.0,1.0,0.0,0.194,0.0,1.0,126.4,123.2,57.0,1253.7,117.1,2882.8,194.0,0.0,4116.8
891f2a6251bffff,9,10,7,False,False,True,True,60.65,67.26,buildings_low;cultural_conservation_values;cultural_preservation,buildings_low;cultural_conservation_values;cultural_preservation,buildings_low;cultural_conservation_values;cultural_preservation,buildings_low;cultural_conservation_values;cultural_preservation,1.0,0.9033,0.0,0.0,1.0,0.0,0.0,0.0,1.0,225.6,135.5,130.4,1502.9,171.5,2367.6,0.0,0.0,3710.4
891f2a62523ffff,9,10,7,False,False,True,True,55.16,58.05,buildings_low,buildings_low,buildings_low,buildings_low,1.0,0.446,0.0,0.0,0.4863,0.4908,0.8686,0.0,1.0,558.7,66.9,157.5,486.3,441.7,3555.9,868.6,0.0,3933.7
891f2a62527ffff,9,10,7,False,False,True,True,57.73,64.99,nature_area_forest,nature_area_forest,nature_area_forest,nature_area_forest,1.0,1.0,0.0,0.1811,0.0,0.7164,1.0,0.0,1.0,656.6,245.5,199.6,147.9,644.8,3893.1,1206.2,0.0,4123.4
891f2a6252bffff,9,10,7,True,True,False,False,56.01,65.13,,,,,1.0,0.1907,0.0163,0.3904,0.6704,0.7502,0.7198,0.0,1.0,268.8,28.6,314.7,670.4,675.2,3406.8,719.8,0.0,3615.0
891f2a6252fffff,9,10,7,False,False,True,True,62.3,66.48,buildings_low,buildings_low,buildings_low,buildings_low,1.0,0.8787,0.0,0.0,0.3365,0.8263,1.0,0.0,1.0,544.6,131.8,89.4,336.5,743.7,3741.4,1054.8,0.0,3804.3
