hex_id,population,source_cell_count
880800a8a9fffff,4,1
880800a8adfffff,4,2
880800a8c3fffff,3,2
880800a8c7fffff,13,3
880800a8d1fffff,2,1
880800aa83fffff,4,1
880800aa85fffff,8,1
880800aa87fffff,10,1
880800aa89fffff,5,1
880800aa93fffff,1,1
880800aa95fffff,2,1
880800aa9bfffff,6,2
880800aaa7fffff,1,1
880800aab9fffff,5,1
880800aad5fffff,25,3
880800ac0bfffff,6,1
880800ac37fffff,4,3
880800ac47fffff,3,2
880800ac4dfffff,4,1
880800ac69fffff,2,1
880800ac85fffff,1,1
880800ac89fffff,7,2
880800ac8dfffff,5,2
880800ac97fffff,5,1
880800ac99fffff,26,4
880800ac9bfffff,9,1
880800aca3fffff,7,3
880800acabfffff,6,1
880800acbbfffff,5,1
880800acc1fffff,6,2
880800acc7fffff,1,1
880800acc9fffff,15,3
880800acd7fffff,4,1
880800ace1fffff,1,1
880800ace3fffff,4,1
880800ace5fffff,3,1
880800ace7fffff,5,2
880800ad05fffff,3,1
880800ad13fffff,1,1
880800ad17fffff,1,1
880800ad41fffff,9,3
880800ad43fffff,3,1
880800ad45fffff,3,1
880800ad47fffff,8,2
880800ad6bfffff,3,1
880800ad81fffff,9,2
880800ad85fffff,1,1
880800ad89fffff,7,2
880800ad8bfffff,14,1
880800ad8dfffff,18,2
880800ada3fffff,22,3
880800ada9fffff,2,1
880800adabfffff,5,1
880800adb5fffff,5,1
880800adb7fffff,1,1
880800adb9fffff,8,1
880800adbdfffff,16,4
880800adcbfffff,1,1
880800add1fffff,6,1
880800ade3fffff,5,2
880800ae01fffff,1,1
880800ae07fffff,4,1
880800ae0bfffff,1,1
880800ae11fffff,1,1
880800ae15fffff,3,2
880800ae27fffff,2,1
880800ae39fffff,3,1
880800ae63fffff,6,1
880800ae81fffff,2,1
880800ae83fffff,5,1
880800ae87fffff,3,1
880800ae89fffff,5,1
880800ae8bfffff,5,2
880800ae99fffff,4,2
880800aea3fffff,3,2
880800aeb1fffff,3,2
880800aeb5fffff,2,1
880800aec1fffff,2,1
880800aec3fffff,5,1
880800aecdfffff,3,1
880800af05fffff,2,1
880800af07fffff,4,1
880800af11fffff,3,1
880800af13fffff,5,1
880800af19fffff,22,2
880800af1bfffff,19,3
880800af39fffff,1,1
880800af3bfffff,10,3
880800af4bfffff,2,1
880800af4dfffff,7,1
880800af59fffff,13,1
880800af69fffff,2,1
8808020001fffff,26,5
8808020003fffff,11,3
8808020005fffff,15,2
880802000bfffff,16,4
880802000dfffff,1,1
8808020011fffff,2,1
8808020015fffff,4,2
880802001bfffff,39,3
8808020025fffff,5,1
8808020027fffff,4,1
8808020029fffff,34,6
880802002bfffff,29,5
880802002dfffff,8,1
8808020031fffff,18,4
8808020033fffff,6,2
8808020037fffff,3,1
880802003dfffff,7,1
8808020041fffff,9,2
8808020043fffff,3,1
8808020049fffff,4,1
880802004dfffff,6,1
8808020053fffff,10,3
8808020059fffff,4,2
8808020065fffff,3,1
8808020067fffff,17,4
8808020069fffff,3,1
880802006bfffff,7,1
880802006dfffff,2,1
8808020089fffff,3,1
8808020091fffff,1,1
8808020099fffff,10,2
88080200adfffff,4,1
88080200c1fffff,16,3
88080200c3fffff,5,3
88080200c9fffff,2,1
88080200cbfffff,8,1
88080200cdfffff,20,3
88080200d1fffff,9,3
88080200d3fffff,2,1
88080200ddfffff,9,2
88080200e5fffff,2,1
8808020101fffff,1,1
8808020109fffff,11,3
880802010bfffff,7,1
8808020111fffff,5,1
8808020115fffff,1,1
8808020119fffff,4,1
880802011bfffff,4,1
880802011dfffff,8,2
880802012dfffff,4,2
8808020137fffff,2,1
8808020141fffff,15,2
8808020143fffff,11,2
8808020145fffff,2,1
8808020147fffff,8,2
8808020149fffff,11,3
880802014bfffff,9,3
8808020153fffff,25,4
8808020157fffff,6,2
8808020159fffff,140,6
880802015dfffff,72,5
8808020163fffff,4,1
880802016bfffff,13,3
880802018bfffff,2,1
88080201c1fffff,4,2
8808020201fffff,42,7
8808020203fffff,9,5
8808020209fffff,14,1
880802020dfffff,9,1
8808020215fffff,12,2
8808020217fffff,5,1
8808020225fffff,2,1
8808020227fffff,1,1
8808020233fffff,11,3
8808020237fffff,2,1
8808020239fffff,8,2
880802023bfffff,6,3
8808020241fffff,2,1
8808020247fffff,24,5
880802024dfffff,9,2
8808020269fffff,39,3
880802026bfffff,5,1
880802026dfffff,2,1
8808020281fffff,2,1
8808020285fffff,5,2
8808020291fffff,8,1
8808020299fffff,1,1
