"hex_id","hex_area_m2","potential_area_m2","potential_area_km2","potential_area_share_pct"
"8a1f2a0dd497fff",12667.6405234039,12667.6162043083,0.0126676162043083,99.9998080219004
"8a1f2a0d8837fff",12667.6617160887,8898.29220985807,0.00889829220985807,70.2441572035093
"8a1f2a0dd48ffff",12667.7043337636,12667.6549372524,0.0126676549372524,99.9996100594878
"8a1f2a0d882ffff",12667.7255768925,12667.7239403626,0.0126677239403626,99.9999870811069
"8a1f2a0d8997fff",12667.746686209,7529.36140347831,0.00752936140347831,59.4372589694685
"8a1f2a0dd4c7fff",12667.7681260444,12667.7515369104,0.0126677515369104,99.9998690445402
"8a1f2a0d8867fff",12667.789419122,11157.9155355108,0.0111579155355108,88.0809995046797
"8a1f2a0d898ffff",12667.8105783761,5738.99411849864,0.00573899411849864,45.3037569751406
"8a1f2a0dd7b7fff",12667.8318999261,2662.37929948838,0.00266237929948838,21.0168505591231
"8a1f2a0dd49ffff",12667.8532429151,12667.823664479,0.012667823664479,99.9997665079031
"8a1f2a0d8807fff",12667.8744523674,11494.1065288,0.0114941065288,90.7342946286614
"8a1f2a0d8d67fff",12667.8955279738,6210.74248134904,0.00621074248134904,49.0274210711181
"8a1f2a0dd4d7fff",12667.9170483612,12405.0940329954,0.0124050940329954,97.9252862616451
"8a1f2a0d8877fff",12667.9383074529,12667.9383074548,0.0126679383074548,100
"8a1f2a0d899ffff",12667.959432926,6596.856714895,0.00659685671489499,52.0751329353702
"8a1f2a0dd4cffff",12667.9808349535,8869.51559717581,0.00886951559717581,70.0152274678459
"8a1f2a0d886ffff",12668.0021441057,12668.0017658668,0.0126680017658668,99.9999970142177
"8a1f2a0d8817fff",12668.0233198404,10273.4642268289,0.0102734642268289,81.0976106330557
"8a1f2a0d8d77fff",12668.0443616994,1533.19369175937,0.00153319369175937,12.1028443537413
"8a1f2a0d8b27fff",12668.0659624897,10752.9685367066,0.0107529685367066,84.8824798398297
"8a1f2a0d880ffff",12668.0871877223,12218.20608766,0.01221820608766,96.4487053696765
"8a1f2a0d8d6ffff",12668.1082802676,12668.1082802713,0.0126681082802713,100
"8a1f2a0dd4dffff",12668.1297623888,6673.80248407042,0.00667380248407042,52.6818291985349
"8a1f2a0d8847fff",12668.1510377079,12668.1510377005,0.0126681510377005,99.9999999999412
"8a1f2a0d88a7fff",12668.1721798964,4594.71291094273,0.00459471291094273,36.269738409731
"8a1f2a0d8b37fff",12668.2148686647,12668.2148686908,0.0126682148686908,100
"8a1f2a0d881ffff",12668.2360608689,2501.35365739591,0.00250135365739591,19.7450824674982
"8a1f2a0d8d47fff",12668.2571191117,12668.2571191061,0.0126682571191061,99.9999999999559
"8a1f2a0d8b2ffff",12668.2786813043,9544.53549743444,0.00954453549743444,75.3420076834918
"8a1f2a0d8857fff",12668.2999235168,11271.6912579425,0.0112716912579425,88.9755636193792
"8a1f2a0d88b7fff",12668.3210318759,12668.3032044228,0.0126683032044228,99.999859275329
"8a1f2a0d8b67fff",12668.3424757309,506.53543282859,0.00050653543282859,3.99843494757876
"8a1f2a0d884ffff",12668.3637677729,12668.3637677655,0.0126683637677655,99.9999999999412
"8a1f2a0d88affff",12668.384926036,4359.1715655122,0.0043591715655122,34.4098445931592
"8a1f2a0d8d57fff",12668.4059508219,9648.23451195797,0.00964823451195797,76.1598148134177
"8a1f2a0d8b07fff",12668.4275932647,11162.490862636,0.011162490862636,88.1126783924679
"8a1f2a0d88e7fff",12668.4488017485,351.048874027096,0.000351048874027096,2.77104860682426
"8a1f2a0d8d4ffff",12668.4698764049,12668.448599698,0.012668448599698,99.9998320499079
"8a1f2a0d885ffff",12668.5126588419,12503.0143426619,0.0125030143426619,98.6936247321468
"8a1f2a0d8887fff",12668.5337832384,8747.01222747564,0.00874701222747564,69.0451821587178
"8a1f2a0d8c27fff",12668.5547743253,1296.79022566415,0.00129679022566415,10.2362917378096
"8a1f2a0d8b17fff",12668.5764971934,5936.57183841057,0.00593657183841057,46.860606949216
"8a1f2a0d8d5ffff",12668.6187129356,12668.6187129356,0.0126686187129356,100
"8a1f2a0d8b0ffff",12668.6403174438,1556.56385414256,0.00155656385414256,12.2867475525316
"8a1f2a0d88effff",12668.6615419537,4495.44844685495,0.00449544844685495,35.4847939694953
"8a1f2a0d8897fff",12668.6826329716,12239.7106874166,0.0122397106874166,96.6139182898267
"8a1f2a0d8ba7fff",12668.7253936604,8296.89559515752,0.00829689559515752,65.4911629808427
"8a1f2a0d8c2ffff",12668.7675423361,12668.7675423343,0.0126687675423343,99.9999999999853
"8a1f2a0d8b1ffff",12668.7892265357,10577.4052049685,0.0105774052049685,83.4918397948667
"8a1f2a0d88c7fff",12668.8104175702,681.066030772869,0.000681066030772869,5.37592724434734
"8a1f2a0d8c67fff",12668.8314750381,12668.78566931,0.01266878566931,99.9996384376242
"8a1f2a0d8bb7fff",12668.874282036,6515.04166159686,0.00651504166159686,51.4255767052244
"8a1f2a0d889ffff",12668.8953895196,1543.47874672525,0.00154347874672525,12.1832148681415
"8a1f2a0d8c07fff",12668.9163635261,4921.238684949,0.004921238684949,38.8449851884512
"8a1f2a0d8baffff",12668.9381282963,5922.31850564107,0.00592231850564107,46.7467631909376
"8a1f2a0d88d7fff",12668.9592858031,0.00134992758466979,1.34992758466979e-09,1.06553944504543e-05
"8a1f2a0d8c77fff",12668.9803095311,12668.980309533,0.012668980309533,100
"8a1f2a0d88cffff",12669.0231631771,1215.37421176955,0.00121537421176955,9.5932748414422
"8a1f2a0d8c6ffff",12669.0442369655,11022.2951296214,0.0110222951296214,87.001788954693
"8a1f2a0d8b87fff",12669.0870218463,4112.87543454533,0.00411287543454533,32.4638660027607
"8a1f2a0d8c0ffff",12669.1291361824,12669.1291361768,0.0126691291361768,99.9999999999559
"8a1f2a0d8a37fff",12669.1508624889,5581.08880341984,0.00558108880341984,44.0525877700648
"8a1f2a0d88dffff",12669.1720362082,6944.57913859398,0.00694457913859398,54.8147828346361
"8a1f2a0d8c47fff",12669.1930765547,10973.5269306608,0.0109735269306608,86.615831524173
"8a1f2a0d8b97fff",12669.2359083146,5899.11047374946,0.00589911047374946,46.5624802982632
"8a1f2a0d8137fff",12669.256998688,3341.54548848234,0.00334154548848234,26.3752285459865
"8a1f2a0d8c1ffff",12669.2779549062,7130.40303093661,0.00713040303093661,56.2810529243723
"8a1f2a0d8b8ffff",12669.2997616604,12669.2997616623,0.0126692997616623,100
"8a1f2a0d812ffff",12669.3209018297,5074.64700427976,0.00507464700427976,40.0546094269888
"8a1f2a0d8c57fff",12669.3419081755,12669.3419081643,0.0126693419081643,99.9999999999118
"8a1f2a0d8167fff",12669.3847865909,8790.8243918065,0.0087908243918065,69.386355690377
"8a1f2a0d8c4ffff",12669.4058432132,6315.85144155275,0.00631585144155275,49.8512047029897
"8a1f2a0d8b9ffff",12669.4486530162,8912.9014659822,0.0089129014659822,70.34956066427
"8a1f2a0d8107fff",12669.4697594121,1782.70199467055,0.00178270199467055,14.0708492819614
"8a1f2a0d8ce7fff",12669.490732044,12669.4907320328,0.0126694907320328,99.9999999999118
"8a1f2a0d8a17fff",12669.5125008933,1276.67268705252,0.00127667268705252,10.0767309473233
"8a1f2a0d8177fff",12669.5336574055,2657.09669155441,0.00265709669155441,20.9723322373535
"8a1f2a0d8c5ffff",12669.5546802729,10999.4775921137,0.0109994775921137,86.8181863506251
"8a1f2a0d816ffff",12669.5975368097,1958.8474834878,0.0019588474834878,15.4610079585925
"8a1f2a0d8117fff",12669.6186095737,37.7862934274599,3.77862934274599e-05,0.298243337797927
"8a1f2a0d8cf7fff",12669.6395491548,8709.20877529029,0.00870920877529029,68.7407778374507
"8a1f2a0d8aa7fff",12669.6613976993,8519.22030903772,0.00851922030903771,67.2411048852873
"8a1f2a0d8ceffff",12669.7035098821,12669.7035098672,0.0126697035098672,99.9999999998824
"8a1f2a0d8147fff",12669.7464126796,261.856965804473,0.000261856965804473,2.06678932060087
"8a1f2a0d81a7fff",12669.7674520761,4844.87477188185,0.00484487477188185,38.2396503346079
"8a1f2a0d8ab7fff",12669.8102864102,7734.35158224311,0.00773435158224311,61.0455200780638
"8a1f2a0d8cc7fff",12669.8523313142,12669.8523313198,0.0126698523313198,100
"8a1f2a0d81b7fff",12669.9162866883,11728.5897415429,0.0117285897415429,92.5703807046115
"8a1f2a0d814ffff",12669.9591679275,5117.68677010573,0.00511768677010573,40.3922909480289
"8a1f2a0d8cd7fff",12670.0011454076,10463.3651684057,0.0104633651684057,82.5837744473947
"8a1f2a0d8ccffff",12670.065113768,12670.0651137494,0.0126700651137494,99.999999999853
"8a1f2a0d8187fff",12670.129063379,2067.72061012685,0.00206772061012685,16.3196491510356
"8a1f2a0d8527fff",12670.149951946,44.9090326176956,4.49090326176956e-05,0.354447522626187
"8a1f2a0d8a97fff",12670.1719226129,2.76097217918141,2.76097217918141e-06,0.0217911185108214
"8a1f2a0d8cdffff",12670.2139327563,12670.2139327507,0.0126702139327507,99.9999999999559
"8a1f2a0d8197fff",12670.277895581,12468.5112939421,0.0124685112939421,98.4075597764968
"8a1f2a0d852ffff",12670.3627443761,9255.36260954104,0.00925536260954104,73.0473372883439
"8a1f2a0d8567fff",12670.4267199263,12670.4267199244,0.0126704267199244,99.9999999999853
"8a1f2a0d819ffff",12670.490677271,3901.6615394447,0.0039016615394447,30.793294741487
"8a1f2a0d8577fff",12670.5755369887,12648.8474707063,0.0126488474707063,99.8285155538601
"8a1f2a0d8327fff",12670.597431194,48.9505225145258,4.89505225145258e-05,0.386331605753754
"8a1f2a0d856ffff",12670.6395068355,12551.8081602515,0.0125518081602515,99.0621519417397
"8a1f2a0d8047fff",12670.6824376546,941.421800445765,0.000941421800445765,7.42992183000388
"8a1f2a0d850ffff",12670.7243459374,29.8652206589468,2.98652206589468e-05,0.235702552147482
"8a1f2a0d8337fff",12670.7463206351,4605.03955625277,0.00460503955625277,36.3438698851794
